Accuracy,number_questionnaires,data_length,plannedId,file_name,activity
0.960673221129812,1,6001,2953,emaLabel_ACTIVPAL_1106.csv,walking
0.517580403266122,1,6001,2976,emaLabel_ACTIVPAL_1106.csv,walking
1,1,24001,2996,emaLabel_ACTIVPAL_1106.csv,sitting
0.865022496250625,1,6001,3009,emaLabel_ACTIVPAL_1106.csv,walking
1,1,24001,3018,emaLabel_ACTIVPAL_1106.csv,sitting
0.998750052081163,1,24001,3060,emaLabel_ACTIVPAL_1106.csv,standing
1,1,24001,3078,emaLabel_ACTIVPAL_1106.csv,sitting
0.718546908848525,1,6001,3086,emaLabel_ACTIVPAL_1106.csv,walking
1,1,24001,3100,emaLabel_ACTIVPAL_1106.csv,sitting
0.987540176977104,1,25201,3114,emaLabel_ACTIVPAL_1106.csv,sitting
0.626395600733211,1,6001,3116,emaLabel_ACTIVPAL_1106.csv,walking
1,1,6001,3155,emaLabel_ACTIVPAL_1106.csv,walking
0,1,24001,3186,emaLabel_ACTIVPAL_1106.csv,standing
0,1,6001,3197,emaLabel_ACTIVPAL_1106.csv,sitting
0.147308781869688,1,6001,3211,emaLabel_ACTIVPAL_1106.csv,walking
1,1,24001,3212,emaLabel_ACTIVPAL_1106.csv,sitting
1,1,24001,3219,emaLabel_ACTIVPAL_1106.csv,sitting
1,1,24001,2942,emaLabel_ACTIVPAL_1107.csv,sitting
0.582402932844526,1,6001,2945,emaLabel_ACTIVPAL_1107.csv,walking
0,1,7201,2959,emaLabel_ACTIVPAL_1107.csv,sitting
0.770865157616998,1,7201,2959,emaLabel_ACTIVPAL_1107.csv,cycling
0.34111078705054,1,24001,2965,emaLabel_ACTIVPAL_1107.csv,standing
1,1,25201,2980,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,25201,2987,emaLabel_ACTIVPAL_1107.csv,sitting
0.59540076653891,1,6001,2994,emaLabel_ACTIVPAL_1107.csv,walking
0.861189801699717,1,6001,2999,emaLabel_ACTIVPAL_1107.csv,walking
0.92500892750863,1,8401,3012,emaLabel_ACTIVPAL_1107.csv,cycling
0.98875046873047,1,24001,3014,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,24001,3023,emaLabel_ACTIVPAL_1107.csv,sitting
0.741376437260457,1,6001,3031,emaLabel_ACTIVPAL_1107.csv,cycling
1,1,24001,3036,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,6001,3043,emaLabel_ACTIVPAL_1107.csv,exercising
0,1,9601,3045,emaLabel_ACTIVPAL_1107.csv,sitting
0,1,24001,3050,emaLabel_ACTIVPAL_1107.csv,sitting
0.956254556816998,1,9601,3058,emaLabel_ACTIVPAL_1107.csv,cycling
1,1,24001,3063,emaLabel_ACTIVPAL_1107.csv,sitting
0.731544742542909,1,6001,3080,emaLabel_ACTIVPAL_1107.csv,walking
0.958673554407599,1,6001,3082,emaLabel_ACTIVPAL_1107.csv,walking
0,1,7201,3093,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,24001,3095,emaLabel_ACTIVPAL_1107.csv,sitting
0.398433594400933,1,6001,3103,emaLabel_ACTIVPAL_1107.csv,cycling
0,1,6001,3107,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,24001,3130,emaLabel_ACTIVPAL_1107.csv,sitting
0.926178970171638,1,6001,3137,emaLabel_ACTIVPAL_1107.csv,walking
0,1,15601,3143,emaLabel_ACTIVPAL_1107.csv,sitting
0.290618230294951,1,6001,3147,emaLabel_ACTIVPAL_1107.csv,sitting
0.129311781369772,1,6001,3167,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,25201,3170,emaLabel_ACTIVPAL_1107.csv,sitting
0.779203466088985,1,6001,3174,emaLabel_ACTIVPAL_1107.csv,cycling
1,1,24001,3177,emaLabel_ACTIVPAL_1107.csv,sitting
0,1,25201,3185,emaLabel_ACTIVPAL_1107.csv,sitting
0,1,25201,3200,emaLabel_ACTIVPAL_1107.csv,standing
0.540777002395584,1,9601,3205,emaLabel_ACTIVPAL_1107.csv,walking
0.789035160806532,1,6001,3213,emaLabel_ACTIVPAL_1107.csv,walking
0.92234627562073,1,6001,3221,emaLabel_ACTIVPAL_1107.csv,walking
0.994127217173922,1,25201,3225,emaLabel_ACTIVPAL_1107.csv,standing
0.765147006308773,1,8401,3237,emaLabel_ACTIVPAL_1107.csv,walking
1,1,25201,3243,emaLabel_ACTIVPAL_1107.csv,sitting
1,1,6001,2960,emaLabel_ACTIVPAL_1108.csv,walking
1,1,25201,2964,emaLabel_ACTIVPAL_1108.csv,sitting
0.0128311948008665,1,6001,2979,emaLabel_ACTIVPAL_1108.csv,sitting
0.685552407932011,1,6001,2979,emaLabel_ACTIVPAL_1108.csv,walking
1,1,24001,2982,emaLabel_ACTIVPAL_1108.csv,sitting
0.989524225229158,1,25201,2986,emaLabel_ACTIVPAL_1108.csv,sitting
0,1,10801,3025,emaLabel_ACTIVPAL_1108.csv,sitting
0.981270584500615,1,25201,3026,emaLabel_ACTIVPAL_1108.csv,sitting
0.0269407026801833,1,7201,3033,emaLabel_ACTIVPAL_1108.csv,sitting
1,1,24001,3035,emaLabel_ACTIVPAL_1108.csv,sitting
0.279372774789789,1,13201,3039,emaLabel_ACTIVPAL_1108.csv,walking
0.12131311448092,1,6001,3076,emaLabel_ACTIVPAL_1108.csv,sitting
0.197633727712048,1,6001,3092,emaLabel_ACTIVPAL_1108.csv,sitting
0,1,6001,3092,emaLabel_ACTIVPAL_1108.csv,walking
1,1,24001,3097,emaLabel_ACTIVPAL_1108.csv,sitting
1,1,24001,3101,emaLabel_ACTIVPAL_1108.csv,sitting
0,1,6001,3109,emaLabel_ACTIVPAL_1108.csv,sitting
0,1,6001,3129,emaLabel_ACTIVPAL_1108.csv,sitting
0.159045932715342,1,9601,3173,emaLabel_ACTIVPAL_1108.csv,sitting
0,1,18001,3178,emaLabel_ACTIVPAL_1108.csv,sitting
1,1,24001,3187,emaLabel_ACTIVPAL_1108.csv,sitting
0.8431928011998,1,6001,3195,emaLabel_ACTIVPAL_1108.csv,walking
1,1,6001,3199,emaLabel_ACTIVPAL_1108.csv,walking
1,1,24001,3226,emaLabel_ACTIVPAL_1108.csv,sitting
0.831059264659931,1,9601,3680,emaLabel_ACTIVPAL_1109.csv,walking
0.829361773037827,1,6001,3704,emaLabel_ACTIVPAL_1109.csv,walking
0.685385769038494,1,6001,3727,emaLabel_ACTIVPAL_1109.csv,walking
0,1,6001,3737,emaLabel_ACTIVPAL_1109.csv,sitting
0.869355107482086,1,6001,3737,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,3741,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,25201,3755,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,24001,3804,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,25201,3828,emaLabel_ACTIVPAL_1109.csv,sitting
0.846358940176637,1,6001,3839,emaLabel_ACTIVPAL_1109.csv,cycling
0.876520579903349,1,6001,3848,emaLabel_ACTIVPAL_1109.csv,walking
0.911432086028332,1,25201,3862,emaLabel_ACTIVPAL_1109.csv,sitting
0.850191634727545,1,6001,3883,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,3889,emaLabel_ACTIVPAL_1109.csv,sitting
0.608248854325788,1,7201,3893,emaLabel_ACTIVPAL_1109.csv,walking
1,1,25201,3902,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,6001,3916,emaLabel_ACTIVPAL_1109.csv,exercising
0,1,6001,3948,emaLabel_ACTIVPAL_1109.csv,sitting
0.647892017997,1,6001,3948,emaLabel_ACTIVPAL_1109.csv,cycling
0,1,6001,3962,emaLabel_ACTIVPAL_1109.csv,sitting
0.849025162472921,1,6001,3962,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,3965,emaLabel_ACTIVPAL_1109.csv,sitting
0.37793701049825,1,6001,3971,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,3973,emaLabel_ACTIVPAL_1109.csv,sitting
0.785202466255624,1,6001,4023,emaLabel_ACTIVPAL_1109.csv,exercising
0.0797166863412263,1,14401,4035,emaLabel_ACTIVPAL_1109.csv,sitting
0.358863967780015,1,14401,4035,emaLabel_ACTIVPAL_1109.csv,walking
0.944418982542394,1,24001,4042,emaLabel_ACTIVPAL_1109.csv,sitting
0.286428497031559,1,9601,4097,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,4103,emaLabel_ACTIVPAL_1109.csv,sitting
0.103513726216379,1,21601,4156,emaLabel_ACTIVPAL_1109.csv,walking
0.0344152326986376,1,24001,4668,emaLabel_ACTIVPAL_1109.csv,walking
0,1,6001,4781,emaLabel_ACTIVPAL_1109.csv,sitting
0.759040159973338,1,6001,4781,emaLabel_ACTIVPAL_1109.csv,walking
1,1,24001,4785,emaLabel_ACTIVPAL_1109.csv,sitting
0.0509915014164306,1,6001,4807,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,24001,4817,emaLabel_ACTIVPAL_1109.csv,sitting
1,1,24001,4838,emaLabel_ACTIVPAL_1109.csv,sitting
0.164977086515762,1,7201,3715,emaLabel_ACTIVPAL_1110.csv,sitting
0.520483266213026,1,7201,3715,emaLabel_ACTIVPAL_1110.csv,walking
1,1,24001,3726,emaLabel_ACTIVPAL_1110.csv,sitting
0.333531722413998,1,8401,3729,emaLabel_ACTIVPAL_1110.csv,sitting
0.438876324247113,1,8401,3729,emaLabel_ACTIVPAL_1110.csv,walking
0.889337944252323,1,24001,3735,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3744,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3783,emaLabel_ACTIVPAL_1110.csv,sitting
0,1,6001,3795,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3802,emaLabel_ACTIVPAL_1110.csv,sitting
0,1,9601,3809,emaLabel_ACTIVPAL_1110.csv,sitting
0.846964709803758,1,24001,3820,emaLabel_ACTIVPAL_1110.csv,sitting
0,1,6001,3824,emaLabel_ACTIVPAL_1110.csv,sitting
0.939544185658931,1,24001,3888,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3898,emaLabel_ACTIVPAL_1110.csv,sitting
0.298283619396767,1,6001,3949,emaLabel_ACTIVPAL_1110.csv,sitting
0.346275620729878,1,6001,3949,emaLabel_ACTIVPAL_1110.csv,walking
1,1,24001,3951,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3994,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,25201,4014,emaLabel_ACTIVPAL_1110.csv,sitting
0.623802249687543,1,7201,4020,emaLabel_ACTIVPAL_1110.csv,walking
0.962006332277954,1,6001,4033,emaLabel_ACTIVPAL_1110.csv,running
0.115581478395429,1,8401,4047,emaLabel_ACTIVPAL_1110.csv,sitting
0.989250447898004,1,24001,4050,emaLabel_ACTIVPAL_1110.csv,sitting
0,1,6001,4118,emaLabel_ACTIVPAL_1110.csv,sitting
0.0626562239626729,1,6001,4151,emaLabel_ACTIVPAL_1110.csv,sitting
0.693929419607516,1,24001,4152,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,4512,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,4680,emaLabel_ACTIVPAL_1110.csv,sitting
0.476253957673721,1,6001,4694,emaLabel_ACTIVPAL_1110.csv,walking
0.953918586725553,1,24001,4775,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,4803,emaLabel_ACTIVPAL_1110.csv,sitting
1,1,24001,3720,emaLabel_ACTIVPAL_1112.csv,sitting
0.895017497083819,1,6001,3756,emaLabel_ACTIVPAL_1112.csv,walking
1,1,25201,3817,emaLabel_ACTIVPAL_1112.csv,sitting
1,1,24001,3825,emaLabel_ACTIVPAL_1112.csv,sitting
1,1,6001,3905,emaLabel_ACTIVPAL_1112.csv,walking
0.504062330736219,1,24001,3911,emaLabel_ACTIVPAL_1112.csv,sitting
1,1,24001,3932,emaLabel_ACTIVPAL_1112.csv,sitting
0,1,14401,4028,emaLabel_ACTIVPAL_1112.csv,sitting
0.942700686480695,1,25201,4032,emaLabel_ACTIVPAL_1112.csv,sitting
0.991083704845631,1,24001,4046,emaLabel_ACTIVPAL_1112.csv,sitting
0.785369105149142,1,6001,4059,emaLabel_ACTIVPAL_1112.csv,walking
0.693356563896675,1,13201,4071,emaLabel_ACTIVPAL_1112.csv,walking
1,1,24001,4774,emaLabel_ACTIVPAL_1112.csv,sitting
0,1,24001,4840,emaLabel_ACTIVPAL_1112.csv,sitting
1,1,6001,4867,emaLabel_ACTIVPAL_1112.csv,walking
1,1,24001,3681,emaLabel_ACTIVPAL_1113.csv,standing
0.818696883852691,1,6001,3693,emaLabel_ACTIVPAL_1113.csv,walking
0.998083413191117,1,24001,3732,emaLabel_ACTIVPAL_1113.csv,standing
0.995666847214699,1,24001,3742,emaLabel_ACTIVPAL_1113.csv,standing
0.995317646125154,1,25201,3753,emaLabel_ACTIVPAL_1113.csv,standing
0,1,8401,3791,emaLabel_ACTIVPAL_1113.csv,sitting
0.831210570170218,1,8401,3791,emaLabel_ACTIVPAL_1113.csv,cycling
0.996583475688513,1,24001,3800,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,3879,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,3885,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,3896,emaLabel_ACTIVPAL_1113.csv,standing
0,1,6001,3943,emaLabel_ACTIVPAL_1113.csv,sitting
0.330111648058657,1,6001,3943,emaLabel_ACTIVPAL_1113.csv,cycling
0.992250322903212,1,24001,3961,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,3967,emaLabel_ACTIVPAL_1113.csv,standing
0.933086121411608,1,24001,3974,emaLabel_ACTIVPAL_1113.csv,sitting
0,1,7201,3987,emaLabel_ACTIVPAL_1113.csv,sitting
0.250104152201083,1,7201,3987,emaLabel_ACTIVPAL_1113.csv,cycling
0,1,13201,4094,emaLabel_ACTIVPAL_1113.csv,sitting
0.271343080069692,1,13201,4094,emaLabel_ACTIVPAL_1113.csv,cycling
0.999083371526186,1,24001,4505,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,4527,emaLabel_ACTIVPAL_1113.csv,standing
1,1,24001,4664,emaLabel_ACTIVPAL_1113.csv,standing
0,1,10801,4696,emaLabel_ACTIVPAL_1113.csv,sitting
0.264882881214702,1,10801,4696,emaLabel_ACTIVPAL_1113.csv,cycling
0,1,18001,4728,emaLabel_ACTIVPAL_1113.csv,sitting
0.072662629853897,1,18001,4728,emaLabel_ACTIVPAL_1113.csv,cycling
0.992833631932003,1,24001,4804,emaLabel_ACTIVPAL_1113.csv,standing
1,1,25201,4824,emaLabel_ACTIVPAL_1113.csv,standing
1,1,25201,4848,emaLabel_ACTIVPAL_1113.csv,standing
0.995916836798467,1,24001,4912,emaLabel_ACTIVPAL_1113.csv,standing
0.0839860023329445,1,6001,3671,emaLabel_ACTIVPAL_1114.csv,sitting
0.530911514747542,1,6001,3745,emaLabel_ACTIVPAL_1114.csv,walking
1,1,24001,3754,emaLabel_ACTIVPAL_1114.csv,sitting
1,1,6001,3758,emaLabel_ACTIVPAL_1114.csv,walking
0,1,7201,3784,emaLabel_ACTIVPAL_1114.csv,sitting
0.781835856131093,1,7201,3784,emaLabel_ACTIVPAL_1114.csv,cycling
0,1,10801,3823,emaLabel_ACTIVPAL_1114.csv,sitting
0.45449495417091,1,10801,3823,emaLabel_ACTIVPAL_1114.csv,cycling
0,1,8401,3870,emaLabel_ACTIVPAL_1114.csv,sitting
0.575764789905964,1,8401,3870,emaLabel_ACTIVPAL_1114.csv,cycling
0,1,7201,3933,emaLabel_ACTIVPAL_1114.csv,sitting
0.541452576031107,1,7201,3933,emaLabel_ACTIVPAL_1114.csv,cycling
0,1,6001,3972,emaLabel_ACTIVPAL_1114.csv,sitting
0.975337443759373,1,6001,3972,emaLabel_ACTIVPAL_1114.csv,cycling
0,1,6001,4024,emaLabel_ACTIVPAL_1114.csv,sitting
0.739413680781759,1,13201,4030,emaLabel_ACTIVPAL_1114.csv,walking
0,1,6001,4043,emaLabel_ACTIVPAL_1114.csv,sitting
1,1,24001,4049,emaLabel_ACTIVPAL_1114.csv,sitting
0,1,24001,4091,emaLabel_ACTIVPAL_1114.csv,sitting
0.0943176137310448,1,6001,4514,emaLabel_ACTIVPAL_1114.csv,sitting
1,1,25201,4669,emaLabel_ACTIVPAL_1114.csv,sitting
0.571404765872355,1,6001,4849,emaLabel_ACTIVPAL_1114.csv,walking
0,1,6001,4900,emaLabel_ACTIVPAL_1114.csv,walking
0.46810549560435,1,24001,5690,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5706,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5730,emaLabel_ACTIVPAL_1115.csv,sitting
0.924679220129978,1,6001,5739,emaLabel_ACTIVPAL_1115.csv,walking
0.541019124203158,1,24001,5817,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5840,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5896,emaLabel_ACTIVPAL_1115.csv,sitting
0,1,6001,5904,emaLabel_ACTIVPAL_1115.csv,sitting
0.969667930502896,1,24001,5916,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5925,emaLabel_ACTIVPAL_1115.csv,sitting
0,1,6001,5932,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5941,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,5948,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,6001,5953,emaLabel_ACTIVPAL_1115.csv,walking
1,1,24001,6051,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,6063,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,6090,emaLabel_ACTIVPAL_1115.csv,sitting
1,1,24001,6093,emaLabel_ACTIVPAL_1115.csv,sitting
0.999166701387442,1,24001,6493,emaLabel_ACTIVPAL_1115.csv,standing
1,1,24001,6501,emaLabel_ACTIVPAL_1115.csv,sitting
0,1,6001,5671,emaLabel_ACTIVPAL_1117.csv,sitting
0.9023496083986,1,6001,5671,emaLabel_ACTIVPAL_1117.csv,walking
0,1,9601,5699,emaLabel_ACTIVPAL_1117.csv,sitting
1,1,24001,5740,emaLabel_ACTIVPAL_1117.csv,sitting
0.665889018496917,1,6001,5746,emaLabel_ACTIVPAL_1117.csv,walking
0.755040826528912,1,6001,5783,emaLabel_ACTIVPAL_1117.csv,walking
0.85135810698217,1,6001,5824,emaLabel_ACTIVPAL_1117.csv,walking
0.494021082454898,1,24001,5844,emaLabel_ACTIVPAL_1117.csv,sitting
0.235323528186326,1,24001,5844,emaLabel_ACTIVPAL_1117.csv,walking
0.000166638893517747,1,6001,5845,emaLabel_ACTIVPAL_1117.csv,sitting
0.929178470254957,1,6001,5892,emaLabel_ACTIVPAL_1117.csv,walking
0.845025829028495,1,6001,5961,emaLabel_ACTIVPAL_1117.csv,walking
0,1,6001,6124,emaLabel_ACTIVPAL_1117.csv,sitting
0.0166638893517747,1,6001,6124,emaLabel_ACTIVPAL_1117.csv,walking
0,1,6001,6633,emaLabel_ACTIVPAL_1117.csv,sitting
0,1,6001,6673,emaLabel_ACTIVPAL_1117.csv,sitting
0,1,6001,4705,emaLabel_ACTIVPAL_1118.csv,sitting
0.755707382102983,1,6001,4705,emaLabel_ACTIVPAL_1118.csv,walking
0,1,25201,4718,emaLabel_ACTIVPAL_1118.csv,standing
0,1,7201,4787,emaLabel_ACTIVPAL_1118.csv,sitting
0.324954867379531,1,7201,4787,emaLabel_ACTIVPAL_1118.csv,exercising
